x, y, theta, stamp, 
7.978698422378643e-07, -1.9236093220800707e-07, 1.0841111945123256e-06, 2782220000000, 
7.907578578925109e-07, -1.9007916768786057e-07, 1.0932325129615047e-06, 2782254000000, 
7.88156783668935e-07, -1.9150433615024744e-07, 1.1039053206342087e-06, 2782288000000, 
7.904807393562639e-07, -1.9289836552031965e-07, 1.1027737725689668e-06, 2782322000000, 
8.190710222163606e-07, -1.9492341886051137e-07, 1.0998515090101964e-06, 2782390000000, 
8.057146698005897e-07, -1.9513516006122958e-07, 1.097465514958104e-06, 2782492000000, 
7.974219049567138e-07, -1.9551364697660419e-07, 1.1092120150602778e-06, 2782594000000, 
8.476967714780264e-07, -1.9554174785608657e-07, 1.1028477236798484e-06, 2782696000000, 
8.272846388813635e-07, -1.951404805847811e-07, 1.1106898007207173e-06, 2782798000000, 
8.362247924136698e-07, -1.9916826629824457e-07, 1.1151879443617443e-06, 2782900000000, 
8.581467958556573e-07, -1.9733820917242907e-07, 1.1017765391565265e-06, 2783002000000, 
8.292838547837647e-07, -1.9795485718761582e-07, 1.1164846494436074e-06, 2783070000000, 
8.374094693289702e-07, -2.0175835575647903e-07, 1.1209076755589616e-06, 2783172000000, 
8.85653330441e-07, -2.030550114236806e-07, 1.1089718830751552e-06, 2783274000000, 
8.463259274143274e-07, -2.034227512258906e-07, 1.1234517943177387e-06, 2783376000000, 
8.379875154588167e-07, -2.0234415054382963e-07, 1.132780474021929e-06, 2783478000000, 
8.88668300006575e-07, -2.0598814147625458e-07, 1.1326809773997948e-06, 2783580000000, 
8.901539073068515e-07, -2.068051703301149e-07, 1.1265901619274423e-06, 2783682000000, 
8.551471568114138e-07, -2.083104889049544e-07, 1.1392199961390463e-06, 2783784000000, 
8.964865944203093e-07, -2.067835895069468e-07, 1.1383423608302624e-06, 2783886000000, 
9.229261876615219e-07, -2.0796431304157343e-07, 1.1260904476681096e-06, 2783988000000, 
8.804171855792533e-07, -2.0941577222392538e-07, 1.1397598195962804e-06, 2784090000000, 
8.851439528270333e-07, -2.1244952299868598e-07, 1.145803127594778e-06, 2784192000000, 
9.449504093368727e-07, -2.1281963435472622e-07, 1.141096054929213e-06, 2784294000000, 
9.243731263830942e-07, -2.1328729906529014e-07, 1.1504914518157722e-06, 2784396000000, 
9.08970407516805e-07, -2.136377143925643e-07, 1.1615131284143204e-06, 2784498000000, 
9.628238810945554e-07, -2.1256019925784514e-07, 1.1582356830490146e-06, 2784600000000, 
9.556319423542356e-07, -2.1500457628132946e-07, 1.1456334019213502e-06, 2784668000000, 
9.364307190473402e-07, -2.1620312060997122e-07, 1.1685980908218667e-06, 2784770000000, 
9.785917399261764e-07, -2.162192702582305e-07, 1.1609275174816345e-06, 2784872000000, 
9.50181746905279e-07, -2.1583434305691487e-07, 1.1675731335600212e-06, 2784974000000, 
9.512327862676398e-07, -2.1971840377008682e-07, 1.1718153247535828e-06, 2785076000000, 
9.925080060440341e-07, -2.2096822617720538e-07, 1.159421284523446e-06, 2785178000000, 
9.727159948870258e-07, -2.1994015760381478e-07, 1.1747854194376847e-06, 2785280000000, 
9.967874401155915e-07, -2.231644517878394e-07, 1.1779514261290594e-06, 2785382000000, 
9.946637070195264e-07, -2.230719969706638e-07, 1.1717946021970125e-06, 2785484000000, 
9.726234327598933e-07, -2.237805957321623e-07, 1.187687700260067e-06, 2785586000000, 
1.0244041426455103e-06, -2.2286058791275967e-07, 1.187216666777579e-06, 2785688000000, 
1.0225369339240126e-06, -2.2355826221507092e-07, 1.1817575235340922e-06, 2785790000000, 
9.798050223649472e-07, -2.2512194955058422e-07, 1.1942804575654914e-06, 2785892000000, 
1.0060788925463406e-06, -2.2783987721814331e-07, 1.1930967331742617e-06, 2785994000000, 
1.0516910502764743e-06, -2.2774830352637364e-07, 1.1804500721583648e-06, 2786096000000, 
1.0121272985961532e-06, -2.2999156904393463e-07, 1.1949490276864724e-06, 2786198000000, 
1.0053439613092507e-06, -2.2985104233942694e-07, 1.207677067098182e-06, 2786266000000, 
1.0586036031022133e-06, -2.3093364085433542e-07, 1.2055579056198223e-06, 2786368000000, 
1.0634582869295667e-06, -2.31175483227404e-07, 1.198459373438088e-06, 2786470000000, 
1.0198622710741493e-06, -2.3321335059792552e-07, 1.209988310034457e-06, 2786572000000, 
1.0468812339954171e-06, -2.32255419255906e-07, 1.2108196133439394e-06, 2786674000000, 
1.1012975905489319e-06, -2.3383096962598008e-07, 1.1994822564720065e-06, 2786776000000, 
