x, y, theta, stamp, 
2.4588911167717044e-06, -2.158955835872087e-08, 1.2622867468845372e-06, 690336000000, 
2.465210136749583e-06, -2.1621337392328115e-08, 1.2633112466947012e-06, 690370000000, 
2.468873388672267e-06, -2.164691303648214e-08, 1.2643795846148877e-06, 690404000000, 
2.4529240645051153e-06, -2.1608004805101758e-08, 1.265229280799878e-06, 690438000000, 
2.4426588465065362e-06, -2.1669187860642064e-08, 1.2661852724442817e-06, 690472000000, 
2.4318646116989034e-06, -2.1651064833352052e-08, 1.268163370792246e-06, 690540000000, 
2.4837812521663586e-06, -2.1691512503251814e-08, 1.2717725050723922e-06, 690642000000, 
2.4756400261018034e-06, -2.170509390403255e-08, 1.2747632075446923e-06, 690744000000, 
2.4698930551131583e-06, -2.164945241812641e-08, 1.2778308615181664e-06, 690846000000, 
2.5028062545844612e-06, -2.1737292852301494e-08, 1.2812229506382676e-06, 690948000000, 
2.4646030297148056e-06, -2.1755867688426607e-08, 1.283925903573205e-06, 691050000000, 
2.491064836806198e-06, -2.1688238887933914e-08, 1.2873295025369213e-06, 691152000000, 
2.525867259054866e-06, -2.1795700488509542e-08, 1.2907114974663887e-06, 691254000000, 
2.4821098276737314e-06, -2.1763821922225347e-08, 1.293418645512594e-06, 691356000000, 
2.4817302559761475e-06, -2.181639784669073e-08, 1.2965181949764097e-06, 691458000000, 
2.544061834681333e-06, -2.1839274489222182e-08, 1.3002469833082411e-06, 691560000000, 
2.5366002340144485e-06, -2.1816839494800203e-08, 1.3021705220798415e-06, 691628000000, 
2.5002235100981073e-06, -2.1792270432319575e-08, 1.3049209524063126e-06, 691730000000, 
2.5269108474272358e-06, -2.187695075010994e-08, 1.3082876002847942e-06, 691832000000, 
2.5655276612602624e-06, -2.179882701049616e-08, 1.3117604702655633e-06, 691934000000, 
2.5250349925953158e-06, -2.191008541322925e-08, 1.3144589562961058e-06, 692036000000, 
2.5253724024149157e-06, -2.1891056694384314e-08, 1.3176185453412615e-06, 692138000000, 
2.5851766753984824e-06, -2.1841594379984957e-08, 1.3213094243615654e-06, 692240000000, 
2.57097968947505e-06, -2.1908928826534592e-08, 1.3242103953068816e-06, 692342000000, 
2.542601509197078e-06, -2.1965168336915384e-08, 1.3270511264053054e-06, 692444000000, 
2.5953841061552305e-06, -2.1991868019503185e-08, 1.3306676710156997e-06, 692546000000, 
2.590770060298045e-06, -2.1941093573398084e-08, 1.333658659546036e-06, 692648000000, 
2.583725674631031e-06, -2.1961706341872365e-08, 1.3367262566189327e-06, 692750000000, 
2.615816274027566e-06, -2.200230717251332e-08, 1.3401404063713398e-06, 692852000000, 
2.582351627556609e-06, -2.2066431825222907e-08, 1.3428556585326266e-06, 692954000000, 
2.601727432372373e-06, -2.2001379391393276e-08, 1.3462041495756292e-06, 693056000000, 
2.6295323595694587e-06, -2.2110565906111357e-08, 1.3495208377492837e-06, 693158000000, 
2.6114603781606342e-06, -2.2107132629943468e-08, 1.3514200788462826e-06, 693226000000, 
2.6296433801782746e-06, -2.2042659045745422e-08, 1.3547376077034626e-06, 693328000000, 
2.6354508810910895e-06, -2.21302720704241e-08, 1.3578269952621687e-06, 693430000000, 
2.6090280772579194e-06, -2.2143242301550452e-08, 1.3606919254915177e-06, 693532000000, 
2.657613284435493e-06, -2.2171253080621177e-08, 1.3642966426227578e-06, 693634000000, 
2.6667769341015965e-06, -2.211955591710337e-08, 1.3674386999747292e-06, 693736000000, 
2.62543846761629e-06, -2.2216962989018623e-08, 1.3701209236825065e-06, 693838000000, 
2.6371939080761113e-06, -2.218674547022895e-08, 1.373363799713668e-06, 693940000000, 
2.693378058360108e-06, -2.215854775031063e-08, 1.37703579406802e-06, 694042000000, 
2.658818326659191e-06, -2.2232063437562904e-08, 1.37978085909251e-06, 694144000000, 
2.655082298008032e-06, -2.227853602895747e-08, 1.3828413877442538e-06, 694246000000, 
2.7119557439154704e-06, -2.2289917962640646e-08, 1.386548903182878e-06, 694348000000, 
2.6956226435056293e-06, -2.222855140455746e-08, 1.38939281984706e-06, 694450000000, 
2.6595419341404834e-06, -2.222990421415893e-08, 1.392152429353242e-06, 694552000000, 
2.7042483451004325e-06, -2.2335145847822396e-08, 1.3956680992630662e-06, 694654000000, 
