x, y, theta, stamp, 
6.788979077096717e-06, -2.4351511995375655e-08, 3.1894243626562e-06, 1385194000000, 
6.791684888126606e-06, -2.4317131133547798e-08, 3.1903513073475843e-06, 1385228000000, 
6.797361200249836e-06, -2.43590274369439e-08, 3.191319938799644e-06, 1385262000000, 
6.780775634538165e-06, -2.4284545536045296e-08, 3.192077536554075e-06, 1385296000000, 
6.759160063235072e-06, -2.4362872728788177e-08, 3.193713810855679e-06, 1385364000000, 
6.789826259863762e-06, -2.4336011336786415e-08, 3.1968786857270464e-06, 1385466000000, 
6.804938718474442e-06, -2.43608567959135e-08, 3.1997918829673716e-06, 1385568000000, 
6.7877532539120616e-06, -2.4368179022028803e-08, 3.202417668142672e-06, 1385670000000, 
6.817839467869942e-06, -2.4371388675426294e-08, 3.204624699432237e-06, 1385738000000, 
6.813661494095833e-06, -2.4361622242145102e-08, 3.2073149553255536e-06, 1385840000000, 
6.7897569489370165e-06, -2.4411117722255435e-08, 3.2099107213136396e-06, 1385942000000, 
6.847929941239861e-06, -2.4457133516100663e-08, 3.2132941411662637e-06, 1386044000000, 
6.848589168843248e-06, -2.448294624922639e-08, 3.2160709633043324e-06, 1386146000000, 
6.803882994192067e-06, -2.450338924080791e-08, 3.2184182203780037e-06, 1386248000000, 
6.824041610423364e-06, -2.4434530029148468e-08, 3.2214569612403554e-06, 1386350000000, 
6.879355015612688e-06, -2.452368112109029e-08, 3.2248240008387073e-06, 1386452000000, 
6.8349689616169925e-06, -2.4432967053869016e-08, 3.227168832358919e-06, 1386554000000, 
6.838252521002068e-06, -2.45540979195489e-08, 3.229993952049803e-06, 1386656000000, 
6.897042053167491e-06, -2.4564795271473023e-08, 3.2334101848597862e-06, 1386758000000, 
6.875985220150111e-06, -2.45894962494457e-08, 3.235972897274476e-06, 1386860000000, 
6.842218484659527e-06, -2.4519559862928476e-08, 3.2384456553650736e-06, 1386962000000, 
6.89226671072571e-06, -2.4596515035278822e-08, 3.2417120453866263e-06, 1387064000000, 
6.922260428313205e-06, -2.4621218587721787e-08, 3.2447930173734537e-06, 1387166000000, 
6.870925599234484e-06, -2.4629693444972418e-08, 3.247071506337967e-06, 1387268000000, 
6.87612448816436e-06, -2.4538678931875098e-08, 3.2490525705494843e-06, 1387336000000, 
6.923669360704139e-06, -2.4556231314187416e-08, 3.2523686337430576e-06, 1387438000000, 
6.8996377403400965e-06, -2.4662828165428266e-08, 3.2548235682328228e-06, 1387540000000, 
6.922217792432762e-06, -2.463953311719119e-08, 3.257913998905455e-06, 1387642000000, 
6.9293573048682945e-06, -2.4666608412791146e-08, 3.260752292594609e-06, 1387744000000, 
6.9043088736967265e-06, -2.4675814507203874e-08, 3.263299919462594e-06, 1387846000000, 
6.955551672760127e-06, -2.4724222091349368e-08, 3.2666215599274678e-06, 1387948000000, 
6.949379273191964e-06, -2.4751781915314575e-08, 3.2693327466770167e-06, 1388050000000, 
6.9340186611247585e-06, -2.4649936169657078e-08, 3.2720220104077034e-06, 1388152000000, 
6.972463779845519e-06, -2.4781491893402508e-08, 3.275246852078947e-06, 1388254000000, 
6.9335947248694725e-06, -2.4781408185443365e-08, 3.27758251695262e-06, 1388356000000, 
6.95336459812973e-06, -2.4758003084505592e-08, 3.2806284006245768e-06, 1388458000000, 
7.000594209075448e-06, -2.481895141804287e-08, 3.2838574075407867e-06, 1388560000000, 
6.957955492254173e-06, -2.4849862192749484e-08, 3.2862713463128624e-06, 1388662000000, 
6.944973449160995e-06, -2.4826585744485396e-08, 3.288929366476973e-06, 1388764000000, 
7.009401330058264e-06, -2.4865483428898054e-08, 3.292366197776788e-06, 1388866000000, 
7.004422268758778e-06, -2.4879640659360175e-08, 3.2950705505057538e-06, 1388968000000, 
6.972704622996246e-06, -2.484255562188674e-08, 3.296651174174071e-06, 1389036000000, 
6.986713523259711e-06, -2.4884730005698253e-08, 3.2995942936571697e-06, 1389138000000, 
7.035063587885885e-06, -2.4836172318280174e-08, 3.302907858005798e-06, 1389240000000, 
6.99858353176005e-06, -2.4930567307581877e-08, 3.3053205590332516e-06, 1389342000000, 
6.9919067935375274e-06, -2.4951267653835067e-08, 3.308079379257028e-06, 1389444000000, 
7.045360027781638e-06, -2.4913684674307258e-08, 3.3114097325344777e-06, 1389546000000, 
7.0481723995135765e-06, -2.4926843166597956e-08, 3.3141837979509846e-06, 1389648000000, 
7.016025304275133e-06, -2.4938748990046405e-08, 3.3166523564253964e-06, 1389750000000, 
